n_nodes,n_steps,sample_every_n,n_trajectories,async/sync,loss,signed_jaccard_score,reachability_jaccard_score,perc_attract
5,10,1,32,async,MDL,0.5,0.4166666666666667,0.365625
5,20,1,64,async,MDL,0.4666666666666667,0.4166666666666667,0.36171875
5,20,2,32,sync,MDL,0.0588235294117647,0.4166666666666667,0.9578125
5,10,1,32,async,BDE,0.5,0.4166666666666667,0.365625
5,30,1,32,async,BDE,0.3157894736842105,0.4166666666666667,0.42709375
5,30,1,32,async,MDL,0.2777777777777778,0.4166666666666667,0.42709375
5,10,1,32,sync,BDE,0.3076923076923077,0.3703703703703703,0.86875
5,20,1,32,async,MDL,0.375,0.4166666666666667,0.446875
5,10,1,32,sync,MDL,0.3076923076923077,0.3703703703703703,0.86875
5,30,1,32,sync,BDE,0.3076923076923077,0.3703703703703703,0.95625
5,20,2,32,async,MDL,0.5,0.4166666666666667,0.4953125
5,20,2,32,sync,BDE,0.0588235294117647,0.4166666666666667,0.9578125
5,20,3,32,sync,BDE,0.1875,0.3333333333333333,0.9609375
5,20,2,32,async,BDE,0.4666666666666667,0.4166666666666667,0.4953125
5,20,1,64,async,BDE,0.4375,0.4166666666666667,0.36171875
5,20,3,32,sync,MDL,0.1666666666666666,0.3333333333333333,0.9609375
5,20,1,16,async,MDL,0.5,0.4166666666666667,0.24375
5,20,1,64,sync,MDL,0.3076923076923077,0.3703703703703703,0.93046875
5,20,3,32,async,MDL,0.375,0.4166666666666667,0.5
5,20,3,32,async,BDE,0.3529411764705882,0.4166666666666667,0.5
5,20,1,16,sync,MDL,0.3076923076923077,0.3703703703703703,0.94375
5,20,1,32,sync,MDL,0.3076923076923077,0.3703703703703703,0.9359375
5,20,1,32,async,BDE,0.375,0.4166666666666667,0.446875
5,20,1,16,async,BDE,0.5833333333333334,0.4166666666666667,0.24375
5,20,1,16,sync,BDE,0.3333333333333333,0.3703703703703703,0.94375
5,30,1,32,sync,MDL,0.3076923076923077,0.3703703703703703,0.95625
5,20,1,64,sync,BDE,0.3076923076923077,0.3703703703703703,0.93046875
5,20,1,32,sync,BDE,0.3076923076923077,0.3703703703703703,0.9359375
8,20,1,64,sync,MDL,0.0294117647058823,0.5376344086021505,0.9
8,20,1,32,async,MDL,0.075,0.5825242718446602,0.0
8,30,1,32,async,MDL,0.075,0.5714285714285714,0.0
